項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
19,7499,13：東京都,中里貝塚,北区上中里,B地点　S3,カキ,M,n,縄文時代,----,B,PAL-755,β線法,4410,90,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
20,7493,13：東京都,中里貝塚,北区上中里,波食台上面(木道窪み内),マガキ,M,n,縄文時代,----,B,Beta-138283,AMS法,4760,40,----,----,----,----,-0.5,北区教育委員会,パリノ･サーヴェイ,2002,基本層序と年代,291-296,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
21,7491,13：東京都,中里貝塚,北区上中里,S-18,貝,M,n,縄文時代,----,B,Pal-334,β線法,4640,770,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
22,7509,13：東京都,中里貝塚,北区上中里,B地点　S11,ハマグリ･カキ,M,n,縄文時代,----,B,PAL-768,β線法,4480,80,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
23,7513,13：東京都,中里貝塚,北区上中里,C地点　8,カキ,M,n,縄文時代,----,B,PAL-760,β線法,3340,220,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
24,7517,13：東京都,中里貝塚,北区上中里,G地点　S3-5(Ⅴ層),カキ,M,n,縄文時代,----,B,PAL-900,β線法,3980,110,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
25,7520,13：東京都,中里貝塚,北区上中里,G地点　調査区内(Ⅳ層),サメ椎体,M,o,縄文時代,----,B,PAL-903,β線法,2130,560,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
26,7519,13：東京都,中里貝塚,北区上中里,G地点　S8?4(Ⅴ層),カキ,M,n,縄文時代,----,B,PAL-902,β線法,3910,90,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
27,7518,13：東京都,中里貝塚,北区上中里,G地点　S8?1(Ⅴ層),カキ,M,n,縄文時代,----,B,PAL-901,β線法,3890,100,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
28,7516,13：東京都,中里貝塚,北区上中里,G地点　S3-2(Ⅴ層),カキ,M,n,縄文時代,----,B,PAL-899,β線法,4010,130,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
29,7515,13：東京都,中里貝塚,北区上中里,C地点　18･19,カキ,M,n,縄文時代,----,B,PAL-762,β線法,2750,370,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
30,7514,13：東京都,中里貝塚,北区上中里,C地点　15,カキ,M,n,縄文時代,----,B,PAL-761,β線法,3330,190,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
31,7512,13：東京都,中里貝塚,北区上中里,7トレンチ第4地点,カキ,M,n,縄文時代,----,B,PAL-771,β線法,4500,120,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
32,7511,13：東京都,中里貝塚,北区上中里,7トレンチ第4地点,カキ,M,n,縄文時代,----,B,PAL-770,β線法,4270,80,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
33,7510,13：東京都,中里貝塚,北区上中里,7トレンチ第2地点,カキ,M,n,縄文時代,----,B,PAL-769,β線法,4150,80,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
34,7482,13：東京都,中里貝塚,北区上中里,S-1,貝,M,n,縄文時代,----,B,Pal-325,β線法,4540,340,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
35,7431,13：東京都,中里遺跡,北区上中里田端駅構内,E地区　Q?R125 地層B3(上部),貝(カキ),M,n,縄文時代中期,----,B,Gak-11785,β線法,4860,130,----,----,----,----,----,堀口萬吉･清水康守･小林健助･駒井潔,学習院大学理学部年代測定室,1987,中里遺跡におけるC-14年代,255-261,----,中里遺跡1ー遺跡と古環境　1ー,東北新幹線中里遺跡調査会
36,7430,13：東京都,中里遺跡,北区上中里田端駅構内,E地区　Q?R125 地層B3(上部),貝(カキ),M,n,縄文時代中期,----,B,Gak-11784,β線法,4760,160,----,----,----,----,----,堀口萬吉･清水康守･小林健助･駒井潔,学習院大学理学部年代測定室,1987,中里遺跡におけるC-14年代,255-261,----,中里遺跡1ー遺跡と古環境　1ー,東北新幹線中里遺跡調査会
37,7469,13：東京都,中里遺跡,北区上中里田端駅構内,P地区H'-(-30) 地層A層(上部),貝(カキ),M,n,縄文時代前期,----,B,Gak-12229,β線法,5010,130,----,----,----,----,----,堀口萬吉･清水康守･小林健助･駒井潔,学習院大学理学部年代測定室,1987,中里遺跡におけるC-14年代,255-261,----,中里遺跡1ー遺跡と古環境　1ー,東北新幹線中里遺跡調査会
38,7474,13：東京都,中里遺跡,北区上中里,8b層,貝殻,M,n,縄文時代,----,B,Gak-16202,β線法,5050,90,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1992,自然科学分析,33-34,----,北区埋蔵文化財調査報告第9集　中里遺跡,北区教育委員会社会教育課
39,7473,13：東京都,中里遺跡,北区上中里,8a層,貝殻,M,n,縄文時代,----,B,Gak-16201,β線法,4510,100,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1992,自然科学分析,33-34,----,北区埋蔵文化財調査報告第9集　中里遺跡,北区教育委員会社会教育課
40,7429,13：東京都,中里遺跡,北区上中里田端駅構内,E地区　Q?R125 地層B1(上部),貝(ハマグリ),M,n,縄文時代前期,----,B,Gak-11783,β線法,4200,120,----,----,----,----,----,堀口萬吉･清水康守･小林健助･駒井潔,学習院大学理学部年代測定室,1987,中里遺跡におけるC-14年代,255-261,----,中里遺跡1ー遺跡と古環境　1ー,東北新幹線中里遺跡調査会
41,7616,13：東京都,動坂遺跡,文京区本駒込,6号住,マガキ,M,n,縄文時代,阿玉台式,B,N-2283,β線法,4300,80,----,----,----,----,----,社団法人日本アイソトープ協会,社団法人日本アイソトープ協会,1978,14C年代測定による動坂遺跡の絶対年代,229,----,動坂遺跡,動坂貝塚調査会
42,7613,13：東京都,動坂遺跡,文京区本駒込,1号住,ヤマトシジミ,M,n,縄文時代,加曽利E式,B,N-2148,β線法,4530,95,----,----,----,----,----,社団法人日本アイソトープ協会,社団法人日本アイソトープ協会,1978,14C年代測定による動坂遺跡の絶対年代,229,----,動坂遺跡,動坂貝塚調査会
43,7614,13：東京都,動坂遺跡,文京区本駒込,1号住,マガキ,M,n,縄文時代,加曽利E式,B,N-2149,β線法,4550,80,----,----,----,----,----,社団法人日本アイソトープ協会,社団法人日本アイソトープ協会,1978,14C年代測定による動坂遺跡の絶対年代,229,----,動坂遺跡,動坂貝塚調査会
44,7612,13：東京都,動坂遺跡,文京区本駒込,1号住,ハマグリ,M,n,縄文時代,加曽利E式,B,N-2147,β線法,4580,95,----,----,----,----,----,社団法人日本アイソトープ協会,社団法人日本アイソトープ協会,1978,14C年代測定による動坂遺跡の絶対年代,229,----,動坂遺跡,動坂貝塚調査会
45,6986,13：東京都,四谷一丁目遺跡,新宿区本塩町,第008-311号遺構　覆土貝類集中部,貝殻(ハイガイ),M,n,縄文時代後期初頭から中葉,----,B,PAL-136,β線法,3700,220,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,1998,第008-311号遺構検出の貝類集中部の自然科学分析,245-249,----,四谷一丁目遺跡Ⅱ,新宿区慎司法書士会館遺跡調査団
46,6835,13：東京都,宮掘北遺跡,北区神谷,1区北西部貝層4,貝殻(微小二枚貝),M,n,不明,----,ABCDEFGH,IAAA-90326,AMS法,5920,40,5921,40,0.1,0.45,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2010,自然科学分析の成果,111-119,----,北区埋蔵文化財調査報告第37集　宮堀北遺跡,東京都北区教育委員会事務局生涯学習推進課
47,6836,13：東京都,宮掘北遺跡,北区神谷,3区北壁12層33,貝殻(微小二枚貝),M,n,不明,----,ABCDEFGH,IAAA-90327,AMS法,6690,40,6685,39,-4.13,0.43,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2010,自然科学分析の成果,111-119,----,北区埋蔵文化財調査報告第37集　宮堀北遺跡,東京都北区教育委員会事務局生涯学習推進課
48,6834,13：東京都,宮掘北遺跡,北区神谷,西壁セクション1　7層,貝殻,M,n,縄文時代前期,----,B,GaK-18586,β線法,6010,100,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,宮掘北遺跡の自然科学分析,119-141,----,宮掘北遺跡,宮堀北遺跡等調査会
49,6904,13：東京都,後楽二丁目南遺跡,文京区後楽,下部砂礫中,マガキ,M,n,不明,----,ABCDEFGH,IAA-1172,β線法,5550,80,----,----,----,----,-30.6,パリノ･サーヴェイ,パリノ･サーヴェイ,2010,文京区後楽二丁目南遺跡の自然科学分析,270-277,----,東京都埋蔵文化財センター調査報告第241集　後楽二丁目南遺跡,東京都埋蔵文化財センター
50,6427,13：東京都,愛宕下遺跡,港区虎ノ門,1号貝殻集積,貝(海洋性:サルボウ),M,n,江戸時代以前,----,ABCDEFG,PLD-17878,AMS法,1190,20,1188,19,1.13,0.17,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2014,愛宕下遺跡出土材･貝殻における放射性炭素年代測定,p1-5,----,東京都埋蔵文化財センター調査報告第286集　愛宕下遺跡Ⅲ　第10分冊自然科学編,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
51,6429,13：東京都,愛宕下遺跡,港区虎ノ門,有楽町貝層以下,貝(海洋性:サルボウ),M,n,縄文時代,----,B,PLD-17880,AMS法,6850,25,6849,25,0.83,0.16,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2014,愛宕下遺跡出土材･貝殻における放射性炭素年代測定,p1-5,----,東京都埋蔵文化財センター調査報告第286集　愛宕下遺跡Ⅲ　第10分冊自然科学編,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
52,6423,13：東京都,愛宕下遺跡,港区虎ノ門,Ⅴ層下部②層(カキ主体層)　有楽町貝層を想定,貝(ナミマガシワガイ),M,n,縄文時代,----,B,PLD-17874,AMS法,5725,25,5727,24,1.84,0.18,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2014,愛宕下遺跡出土材･貝殻における放射性炭素年代測定,p1-5,----,東京都埋蔵文化財センター調査報告第286集　愛宕下遺跡Ⅲ　第10分冊自然科学編,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
53,7651,13：東京都,日暮里延命院貝塚,荒川区西日暮里,B地区　Ⅱb12層,貝殻(ハマグリ)　左殻,M,n,縄文時代後期,----,B,IAAA-71063,AMS法,4100,40,4098,37,4.63,0.78,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2008,日暮里延命院貝塚の自然科学分析,127-129,----,日暮里延命院貝塚?B地点における埋蔵文化財発掘調査報告書?,株式会社K'sコーポレーション　株式会社武蔵文化財研究所
54,7652,13：東京都,日暮里延命院貝塚,荒川区西日暮里,B地区　Ⅱb1層,貝殻(ハマグリ)　左殻,M,n,縄文時代後期,----,B,IAAA-71064,AMS法,4030,40,4028,39,2.77,0.73,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2008,日暮里延命院貝塚の自然科学分析,127-129,----,日暮里延命院貝塚?B地点における埋蔵文化財発掘調査報告書?,株式会社K'sコーポレーション　株式会社武蔵文化財研究所
55,7650,13：東京都,日暮里延命院貝塚,荒川区西日暮里,B-2-ⅩⅣ、3-1,貝殻(ハマグリ),M,n,縄文時代,堀之内2式,B,GaK-14244,β線法,3980,170,----,----,----,----,----,樋泉岳二,学習院大学理学部年代測定室,1990,放射性炭素年代,73-74,----,日暮里延命院貝塚,荒川区教育委員会
56,7649,13：東京都,日暮里延命院貝塚,荒川区西日暮里,C-3-Ⅰ、N21-2,貝殻(ハマグリ),M,n,縄文時代,堀之内2式中段階,B,GaK-14243,β線法,3220,130,----,----,----,----,----,樋泉岳二,学習院大学理学部年代測定室,1990,放射性炭素年代,73-74,----,日暮里延命院貝塚,荒川区教育委員会
57,7648,13：東京都,日暮里延命院貝塚,荒川区西日暮里,B-4-Ⅸ･ⅩⅢ、1-2,貝殻(ハマグリ),M,n,縄文時代,堀之内2式新段階,B,GaK-14242,β線法,2340,160,----,----,----,----,----,樋泉岳二,学習院大学理学部年代測定室,1990,放射性炭素年代,73-74,----,日暮里延命院貝塚,荒川区教育委員会
58,7653,13：東京都,日本橋一丁目遺跡,中央区日本橋,カキ層,貝殻,M,n,不明,----,ABCDEFGH,PLD-1193,β線法,3130,70,----,----,----,----,-3.4,山形秀樹(パレオ･ラボ),パレオ･ラボ,2003,放射性炭素年代,420,----,日本橋一丁目遺跡,日本橋一丁目遺跡調査会
59,7078,13：東京都,春日町遺跡,文京区後楽,第Ⅴ地点　C地点　Ⅷ層,マガキ,M,n,不明,----,ABCDEFGH,Gak-18383,β線法,5210,100,----,----,----,----,----,鈴木茂(パレオ･ラボ),学習院大学理学部年代測定室,1996,春日町遺跡第Ⅴ地点周辺の古環境,83-85,----,文京区埋蔵文化財調査報告書第10集　春日町遺跡第Ⅴ地点,文京区遺跡調査会
60,8028,13：東京都,有楽町一丁目遺跡,千代田区有楽町,A区190号遺構外,ハマグリ,M,n,不明,----,ABCDEFGH,IAAA-141613,AMS法,1000,20,996,23,1.19,0.53,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2015,有楽町一丁目遺跡の自然科学分析,310-314,----,有楽町一丁目遺跡,三井不動産株式会社　株式会社武蔵文化財研究所
61,8027,13：東京都,有楽町一丁目遺跡,千代田区有楽町,B区南壁　,マガキ,M,n,不明,----,ABCDEFGH,IAAA-141612,AMS法,5910,30,5914,30,0.81,0.52,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2015,有楽町一丁目遺跡の自然科学分析,310-314,----,有楽町一丁目遺跡,三井不動産株式会社　株式会社武蔵文化財研究所
62,8026,13：東京都,有楽町一丁目遺跡,千代田区有楽町,B区南壁　,ハマグリ,M,n,不明,----,ABCDEFGH,IAAA-141611,AMS法,1140,20,1142,24,2.57,0.48,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2015,有楽町一丁目遺跡の自然科学分析,310-314,----,有楽町一丁目遺跡,三井不動産株式会社　株式会社武蔵文化財研究所
63,7903,13：東京都,本郷遺跡,葛飾区奥戸,3丁目27番地点西壁　最下層13層,カキ,M,n,不明,----,ABCDEFGH,GaK-17969,β線法,3050,90,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,自然科学分析調査,268-321,----,葛飾区遺跡調査会調査報告第34集　本郷遺跡Ⅴ,葛飾区遺跡調査会
64,6871,13：東京都,桐ヶ丘遺跡,北区赤羽北,6号土坑覆土4(貝層⑤),ハマグリ,M,n,縄文時代中期および後期,----,B,NUTA2-21304,AMS法,4307,25,----,----,----,----,(-1.5),一木絵里(土浦市教育委員会)･中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2014,東京都北区桐ヶ丘遺跡出土資料の14C年代測定と海洋リザーバー効果,284-289,----,東京都埋蔵文化財センター調査報告第296集　桐ヶ丘遺跡,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
65,6870,13：東京都,桐ヶ丘遺跡,北区赤羽北,6号土坑覆土4(貝層②),マガキ,M,n,縄文時代中期および後期,----,B,NUTA2-21303,AMS法,4087,24,----,----,----,----,-1.9,一木絵里(土浦市教育委員会)･中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2014,東京都北区桐ヶ丘遺跡出土資料の14C年代測定と海洋リザーバー効果,284-289,----,東京都埋蔵文化財センター調査報告第296集　桐ヶ丘遺跡,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
66,6866,13：東京都,桐ヶ丘遺跡,北区赤羽北,6号土坑覆土4(貝層①),ハマグリ,M,n,縄文時代中期および後期,----,B,NUTA2-21297,AMS法,4326,24,----,----,----,----,-0.6,一木絵里(土浦市教育委員会)･中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2014,東京都北区桐ヶ丘遺跡出土資料の14C年代測定と海洋リザーバー効果,284-289,----,東京都埋蔵文化財センター調査報告第296集　桐ヶ丘遺跡,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
67,6868,13：東京都,桐ヶ丘遺跡,北区赤羽北,6号土坑覆土4(貝層②),ヤマトシジミ,M,n,縄文時代中期および後期,----,B,NUTA2-21299,AMS法,4303,24,----,----,----,----,-10.3,一木絵里(土浦市教育委員会)･中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2014,東京都北区桐ヶ丘遺跡出土資料の14C年代測定と海洋リザーバー効果,284-289,----,東京都埋蔵文化財センター調査報告第296集　桐ヶ丘遺跡,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
68,6869,13：東京都,桐ヶ丘遺跡,北区赤羽北,6号土坑覆土4(貝層②),ハマグリ,M,n,縄文時代中期および後期,----,B,NUTA2-21302,AMS法,4113,24,----,----,----,----,-0.8,一木絵里(土浦市教育委員会)･中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2014,東京都北区桐ヶ丘遺跡出土資料の14C年代測定と海洋リザーバー効果,284-289,----,東京都埋蔵文化財センター調査報告第296集　桐ヶ丘遺跡,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
69,6865,13：東京都,桐ヶ丘遺跡,北区赤羽北,6号土坑覆土4(貝層①),ヤマトシジミ,M,n,縄文時代中期および後期,----,B,NUTA2-21296,AMS法,4339,24,----,----,----,----,-10.5,一木絵里(土浦市教育委員会)･中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2014,東京都北区桐ヶ丘遺跡出土資料の14C年代測定と海洋リザーバー効果,284-289,----,東京都埋蔵文化財センター調査報告第296集　桐ヶ丘遺跡,公益財団法人東京都スポーツ文化事業団　東京都埋蔵文化財センター
