項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
11,22519,20：長野県,上屋敷遺跡,岡谷市長地,10号住,炭化材(コナラ属クヌギ節),T,f,縄文時代中期初頭,----,B,IAA-417,β線法,5020,80,----,----,----,----,-26.3,パリノ･サーヴェイ株式会社,(株)加速器分析研究所,2006,上屋敷遺跡10号住居址出土炭化材の樹種同定と放射性炭素年代測定,235-237,----,郷土の文化財27　国道20号バイパス関連遺跡発掘調査報告書,岡谷市教育委員会
12,22951,20：長野県,下り松遺跡,飯田市竹佐,SB05 P5　覆土,炭化物,T,h,不明,----,ABCDEFGH,IAAA-42157,AMS法,4440,60,----,----,-25.69,0,----,(株)加速器分析研究所,(株)加速器分析研究所,2009,年代測定結果報告書,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書86　国道474号(飯喬道路)埋蔵文化財発掘調査報告書3　飯田市内その3,国土交通省中部地方整備局　(財)長野県文化振興事業団長野県埋蔵文化財センター
13,22377,20：長野県,下信濃石遺跡,佐久市岩村田字仁王前,不明,炭化物,T,h,不明,----,ABCDEFGH,IAAA-50943,AMS法,2400,40,----,----,-27.2,0.86,----,(株)加速器分析研究所,(株)加速器分析研究所,2006,放射性炭素年代測定結果報告書,139,----,佐久市埋蔵文化財調査報告書第134集　下信濃石遺跡,佐久市教育委員会
14,22376,20：長野県,下信濃石遺跡,佐久市岩村田字仁王前,不明,炭化物,T,h,不明,----,ABCDEFGH,IAAA-50942,AMS法,2390,30,----,----,-25.21,0.97,----,(株)加速器分析研究所,(株)加速器分析研究所,2006,放射性炭素年代測定結果報告書,139,----,佐久市埋蔵文化財調査報告書第134集　下信濃石遺跡,佐久市教育委員会
15,22375,20：長野県,下原遺跡,東筑摩郡山形村,SB-19　床面直上焼土層,炭化材(クリ),T,f,縄文時代中期後葉,----,B,IAAA-72441,AMS法,4070,30,4073,31,-27.86,0.39,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2009,三夜塚遺跡･下原遺跡出土炭化物の自然科学分析調査,100-104,----,山形村遺跡発掘調査報告書第15集　下原遺跡　三夜塚遺跡Ⅳ,山形村教育委員会
16,22379,20：長野県,下弥堂遺跡,北佐久郡御代田町大字塩野,J-14竪穴住居址,炭化材(コナラ属コナラ亜属コナラ節),T,f,縄文時代前期初頭,----,B,Gak-17324,β線法,8890,420,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,炭化材の樹種同定および放射性炭素年代測定報告,146-149,----,下弥堂遺跡,御代田町教育委員会
17,22380,20：長野県,下弥堂遺跡,北佐久郡御代田町大字塩野,J-14竪穴住居址,炭化材(クリ近似種),T,f,縄文時代前期初頭,----,B,Gak-17325,β線法,7940,300,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,炭化材の樹種同定および放射性炭素年代測定報告,146-149,----,下弥堂遺跡,御代田町教育委員会
18,22381,20：長野県,下弥堂遺跡,北佐久郡御代田町大字塩野,D-4土坑,炭化材(クリ近似種),T,f,縄文時代前期初頭,----,B,Gak-17326,β線法,7030,120,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,炭化材の樹種同定および放射性炭素年代測定報告,146-149,----,下弥堂遺跡,御代田町教育委員会
19,22378,20：長野県,下弥堂遺跡,北佐久郡御代田町大字塩野,J-2竪穴住居址,炭化材(コナラ属コナラ亜属コナラ節),T,f,縄文時代前期初頭,----,B,Gak-17323,β線法,10430,690,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,炭化材の樹種同定および放射性炭素年代測定報告,146-149,----,下弥堂遺跡,御代田町教育委員会
20,22524,20：長野県,下茂内遺跡,佐久市大字香坂字下茂内,62号土坑　13層,腐食した黒色土,T,k,縄文時代早期,----,B,不明,不明,8410,140,----,----,----,----,----,(財)長野県埋蔵文化財センター,(株)テレダインジャパン,1992,62号土坑,151-152,----,(財)長野県埋蔵文化財センター発掘調査報告書11　上信越自動車道埋蔵文化財発掘調査報告書1　佐久市内その1　下茂内遺跡　本文編,日本道路公団東京第二建設局　長野県教育委員会　(財)長野県埋蔵文化財センター
21,22745,20：長野県,中ッ原第1遺跡G地点,南佐久郡南牧村大字板橋字梨ノ木平,As-YPの上位(細石刃包含層),炭化材(コナラ属コナラ節),T,f,縄文時代草創期,----,B,Beta-81733,AMS法,2490,60,----,----,----,----,-26.9,株式会社古環境研究所,株式会社古環境研究所,1996,中ッ原1G地点放射性炭素年代測定結果,107,----,中ッ原第Ⅰ遺跡G地点の研究Ⅱ,八ヶ岳旧石器研究グループ
22,22562,20：長野県,中原遺跡群,東部町和字中原,②B区　谷部　2B層下部,堆積物,T,k,不明,----,ABCDEFGH,不明,β線法,5510,100,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1999,谷部の古環境,623-625,----,長野県埋蔵文化財センター発掘調査報告書40　上信越自動車道埋蔵文化財発掘調査報告書20　東部町内,日本道路公団　長野県教育委員会　(財)長野県文化振興事業団長野県埋蔵文化財センター
23,22515,20：長野県,井川城址,松本市井川城,2次　6tr　地山,炭質物,T,h,縄文時代末?弥生時代,----,BC,IAAA-150799,AMS法,2180,30,2183,27,-30.15,0.67,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2016,井川城址第2次調査出土試料の自然科学分析(2),108-111,----,松本市文化財調査報告No.224　小笠原氏城館群,松本市教育委員会
24,22801,20：長野県,仲町遺跡,上水内郡信濃町大字野尻字一盃清水,SF52　Ⅲ層,炭化物,T,h,縄文時代草創期,----,B,NUTA2-7386,AMS法,7052,31,----,----,-24,1,----,中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2004,長野県仲町遺跡出土の縄文時代草創期の土器関連資料のAMS14C年代測定,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書63　一般国道18号(野尻バイパス)埋蔵文化財発掘調査報告書3　信濃町内その3　仲町遺跡《第2分冊》,国土交通書関東地方整備局　長野県埋蔵文化財センター
25,22806,20：長野県,仲町遺跡,上水内郡信濃町大字野尻字一盃清水,国道B区　SK338　5層,炭化材(カエデ属),T,f,縄文時代早期,----,B,PLD-1836,AMS法,7340,100,----,----,----,----,-26.3,山形秀樹(パレオ･ラボ),パレオ･ラボ,2004,放射性炭素年代測定2,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書63　一般国道18号(野尻バイパス)埋蔵文化財発掘調査報告書3　信濃町内その3　仲町遺跡《第2分冊》,国土交通書関東地方整備局　長野県埋蔵文化財センター
26,22805,20：長野県,仲町遺跡,上水内郡信濃町大字野尻字一盃清水,国道8b区　SK321　最下層(3f5層),炭化材,T,f,縄文時代早期,----,B,PLD-1835,AMS法,7340,100,----,----,----,----,-20.9,山形秀樹(パレオ･ラボ),パレオ･ラボ,2004,放射性炭素年代測定2,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書63　一般国道18号(野尻バイパス)埋蔵文化財発掘調査報告書3　信濃町内その3　仲町遺跡《第2分冊》,国土交通書関東地方整備局　長野県埋蔵文化財センター
27,22803,20：長野県,仲町遺跡,上水内郡信濃町大字野尻字一盃清水,SF52付近(1層),炭化物,T,h,縄文時代草創期,----,B,NUTA2-7391,AMS法,6030,33,----,----,-21,1,----,中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2004,長野県仲町遺跡出土の縄文時代草創期の土器関連資料のAMS14C年代測定,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書63　一般国道18号(野尻バイパス)埋蔵文化財発掘調査報告書3　信濃町内その3　仲町遺跡《第2分冊》,国土交通書関東地方整備局　長野県埋蔵文化財センター
28,22802,20：長野県,仲町遺跡,上水内郡信濃町大字野尻字一盃清水,SF52付近　1層,炭化物,T,h,縄文時代草創期,----,B,NUTA2-7390,AMS法,15955,47,----,----,-25,1,----,中村俊夫(名古屋大学年代測定総合研究センター),名古屋大学年代測定総合研究センター,2004,長野県仲町遺跡出土の縄文時代草創期の土器関連資料のAMS14C年代測定,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書63　一般国道18号(野尻バイパス)埋蔵文化財発掘調査報告書3　信濃町内その3　仲町遺跡《第2分冊》,国土交通書関東地方整備局　長野県埋蔵文化財センター
29,22804,20：長野県,仲町遺跡,上水内郡信濃町大字野尻字一盃清水,県道⑤　第5検出面,木材,T,d,不明,----,ABCDEFGH,PLD-1546,AMS法,1310,40,----,----,----,----,-27.4,山形秀樹(パレオ･ラボ),パレオ･ラボ,2004,放射性炭素年代測定1,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書63　一般国道18号(野尻バイパス)埋蔵文化財発掘調査報告書3　信濃町内その3　仲町遺跡《第2分冊》,国土交通書関東地方整備局　長野県埋蔵文化財センター
30,22613,20：長野県,信濃大深山遺跡,南佐久郡川上村,第十三号竪穴,炭化材,T,f,縄文時代中期,加曽利E式または勝坂式,B,SI-93,β線法,4580,60,----,----,----,----,----,八幡一郎,スミソニアン研究所,1976,大深山遺跡の実年代,134-135,----,信濃大深山遺跡,川上村教育委員会
31,22881,20：長野県,北唐沢遺跡,長野県東筑摩郡山形村下竹田地区,2号集石,炭化物,T,h,縄文時代中期初頭,----,B,GaK-10798,β線法,5070,170,----,----,----,----,----,木越邦彦(学習院大学),学習院大学,1983,学習院大学放射性炭素年代測定結果報告書,22,----,山形村遺跡発掘調査報告書第5集　堀ノ内遺跡･北唐沢遺跡,中信土地改良事務所　山形村教育委員会
32,22880,20：長野県,北唐沢遺跡,長野県東筑摩郡山形村下竹田地区,1号集石,炭化物,T,h,縄文時代中期初頭,----,B,GaK-10797,β線法,5040,130,----,----,----,----,----,木越邦彦(学習院大学),学習院大学,1983,学習院大学放射性炭素年代測定結果報告書,22,----,山形村遺跡発掘調査報告書第5集　堀ノ内遺跡･北唐沢遺跡,中信土地改良事務所　山形村教育委員会
33,23091,20：長野県,千田遺跡,中野市豊津千田,SB43　床直,炭化物混じり土壌,T,k,縄文時代中期,----,B,PLD-15387,AMS法,4400,25,4401,27,-25.59,0.17,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2013,千田遺跡の自然科学分析,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書98　中野市千田遺跡　千曲川替佐･柳沢築堤事業関連埋蔵文化財発掘調査報告書　中野市内その1,国土交通省北陸地方整備局　長野県埋蔵文化財センター
34,23090,20：長野県,千田遺跡,中野市豊津千田,SB31,炭化物混じり土壌,T,k,縄文時代中期,----,B,PLD-15386,AMS法,4295,25,4297,27,-25.78,0.19,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2013,千田遺跡の自然科学分析,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書98　中野市千田遺跡　千曲川替佐･柳沢築堤事業関連埋蔵文化財発掘調査報告書　中野市内その1,国土交通省北陸地方整備局　長野県埋蔵文化財センター
35,23089,20：長野県,千田遺跡,中野市豊津千田,SB14,炭化材(クリ),T,f,縄文時代中期,----,B,PLD-15385,AMS法,4270,25,4270,27,-27.74,0.17,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2013,千田遺跡の自然科学分析,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書98　中野市千田遺跡　千曲川替佐･柳沢築堤事業関連埋蔵文化財発掘調査報告書　中野市内その1,国土交通省北陸地方整備局　長野県埋蔵文化財センター
36,22675,20：長野県,千見遺跡,大町市美麻千見,SF01,炭化材,T,f,縄文時代後期以前,----,B,Gak-17653,β線法,3330,90,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,千見遺構SF1出土炭化物の年代測定,46,----,(財)長野県埋蔵文化財センター発掘調査報告書18　主要地方道長野大町線埋蔵文化財発掘調査報告書　美麻村内　千見遺跡,長野県大町建設事務所　(財)長野県埋蔵文化財センター
37,23244,20：長野県,南大原遺跡,中野市大字上今井字南大原,SK64　埋土,炭化物,T,h,不明,----,ABCDEFGH,IAAA-112273,AMS法,2110,20,2107,23,-24.48,0.4,----,(株)加速器分析研究所,(株)加速器分析研究所,2016,南大原遺跡(AMH)における放射性炭素年代(AMS測定),付属DVD,----,長野県埋蔵文化財センター発掘調査報告書111　南大原遺跡　一般県道三水中野線建設事業埋蔵文化財発掘調査報告書　中野市,長野県北信建設事務所　(一財)長野県文化振興事業団長野県埋蔵文化財センター
38,23243,20：長野県,南大原遺跡,中野市大字上今井字南大原,SK58　埋土,炭化物,T,h,不明,----,ABCDEFGH,IAAA-112272,AMS法,2150,30,2149,25,-31.19,0.49,----,(株)加速器分析研究所,(株)加速器分析研究所,2016,南大原遺跡(AMH)における放射性炭素年代(AMS測定),付属DVD,----,長野県埋蔵文化財センター発掘調査報告書111　南大原遺跡　一般県道三水中野線建設事業埋蔵文化財発掘調査報告書　中野市,長野県北信建設事務所　(一財)長野県文化振興事業団長野県埋蔵文化財センター
39,22936,20：長野県,和田上遺跡,佐久市瀬戸,B区D26　5層,炭化材(オニグルミ),T,f,縄文時代,----,B,IAAA-121641,AMS法,3470,20,3472,24,-24.28,0.48,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2013,和田上Ⅱ遺跡の自然科学分析,48-51,----,佐久市埋蔵文化財調査報告書第206集　高師町遺跡群和田上遺跡Ⅱ　馬瀬口遺跡群馬瀬口遺跡Ⅱ,佐久市教育委員会
40,22850,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SB02　柱穴(P1),炭化材(クリ),T,f,縄文時代中期後葉,----,B,IAAA-32006,AMS法,4170,40,4174,40,-28.81,0.93,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
41,22849,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SB02　床直上,炭化材(クリ),T,f,縄文時代中期後葉,----,B,IAAA-32005,AMS法,4120,40,4124,40,-25.23,0.92,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
42,22855,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SK36　坑底ピット(P1)内,炭化材,T,f,縄文時代,----,B,IAAA-32011,AMS法,4190,40,4193,41,-24.91,0.88,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
43,22854,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SK24　坑底ピット(P1)内,炭化材,T,f,縄文時代,----,B,IAAA-32010,AMS法,890,40,890,38,-27.07,0.97,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
44,22853,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SK22　覆土下層(7層),炭化材,T,f,縄文時代,----,B,IAAA-32009,AMS法,5210,40,5205,42,-27.52,0.91,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
45,22852,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SK14　9層,炭化材(クリ),T,f,縄文時代,----,B,IAAA-32008,AMS法,4150,40,4153,41,-22.77,0.88,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
46,22851,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SB06　床直上,炭化材(クリ),T,f,縄文時代中期後葉,----,B,IAAA-32007,AMS法,4190,40,4193,42,-25.59,0.9,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
47,22857,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SB06　床直上,炭化材(クリ),T,f,縄文時代中期後葉,----,B,IAAA-32013,AMS法,4040,40,4038,41,-24.52,0.92,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
48,22856,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SB06　床直上,炭化材(クリ),T,f,縄文時代中期後葉,----,B,IAAA-32012,AMS法,4100,40,4095,40,-24.93,0.86,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
49,22848,20：長野県,唐松B遺跡,南佐久郡臼田町大字平林字唐松,SB02　床直上,炭化材(クリ),T,f,縄文時代中期後葉,----,B,IAAA-32004,AMS法,4080,40,4083,43,-22.86,0.95,----,長野県埋蔵文化財センター,(株)加速器分析研究所,2005,放射性炭素年代測定,62-65,----,長野県埋蔵文化財センター発掘調査報告書72　地方道路交付金業務(主)川上佐久線埋蔵文化財発掘調査報告書　臼田町内　唐松B遺跡,長野県臼田建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
50,22414,20：長野県,唐渡宮遺跡,長野県諏訪郡富士見町,17号住居址,炭化材,T,f,縄文時代前期中頃,黒浜式,B,GaK-19843,β線法,6800,80,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1998,机原三本松遺跡出土木炭放射性炭素年代測定報告,28-30,----,机原三本松遺跡,富士見町教育委員会
51,22412,20：長野県,坂平遺跡,長野県諏訪郡富士見町落合,2号住居址,炭化材,T,f,縄文時代,----,B,GaK-19841,β線法,5940,80,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1998,机原三本松遺跡出土木炭放射性炭素年代測定報告,28-30,----,机原三本松遺跡,富士見町教育委員会
52,22413,20：長野県,坂平遺跡,長野県諏訪郡富士見町落合,14号住居址,炭化材,T,f,縄文時代前期初頭,中越式,B,GaK-19842,β線法,5860,80,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1998,机原三本松遺跡出土木炭放射性炭素年代測定報告,28-30,----,机原三本松遺跡,富士見町教育委員会
53,22411,20：長野県,坂平遺跡,長野県諏訪郡富士見町落合,58号住居址,炭化材,T,f,縄文時代前期初頭,中越式,B,GaK-19840,β線法,7120,90,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1998,机原三本松遺跡出土木炭放射性炭素年代測定報告,28-30,----,机原三本松遺跡,富士見町教育委員会
54,22826,20：長野県,塚田遺跡,北佐久郡御代田町大字塩野字塚田,J-3住居址,炭化材,T,f,縄文時代前期前半,関山式,B,Gak-17300,β線法,5900,110,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,塚田遺跡におけるC14年代測定,326-328,----,塚田遺跡,御代田町教育委員会
55,22829,20：長野県,塚田遺跡,北佐久郡御代田町大字塩野字塚田,J-13住居址　Ⅱ区Ⅲ層,炭化材,T,f,縄文時代前期前半,関山式,B,Gak-17303,β線法,11530,180,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,塚田遺跡におけるC14年代測定,326-328,----,塚田遺跡,御代田町教育委員会
56,22833,20：長野県,塚田遺跡,北佐久郡御代田町大字塩野字塚田,D-134,炭化材,T,f,縄文時代前期初頭,中道式,B,Gak-17307,β線法,5170,140,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,塚田遺跡におけるC14年代測定,326-328,----,塚田遺跡,御代田町教育委員会
57,22832,20：長野県,塚田遺跡,北佐久郡御代田町大字塩野字塚田,D-114,炭化材,T,f,縄文時代前期初頭,中道式,B,Gak-17306,β線法,11510,180,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,塚田遺跡におけるC14年代測定,326-328,----,塚田遺跡,御代田町教育委員会
58,22831,20：長野県,塚田遺跡,北佐久郡御代田町大字塩野字塚田,D-39,炭化材,T,f,縄文時代前期初頭,中道式,B,Gak-17305,β線法,6660,150,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,塚田遺跡におけるC14年代測定,326-328,----,塚田遺跡,御代田町教育委員会
59,22830,20：長野県,塚田遺跡,北佐久郡御代田町大字塩野字塚田,J-13住居址,炭化材,T,f,縄文時代前期前半,関山式,B,Gak-17304,β線法,12180,230,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1994,塚田遺跡におけるC14年代測定,326-328,----,塚田遺跡,御代田町教育委員会
