"","LabCode","SampleID","CombineGroup","Region","SiteID","Site_Name_JP","Site_Address_JP","Context_JP","MaterialType_JP","MaterialType_En","PotteryPhase_JP","Phase","Phase_Details","PhaseAnalysis","CRA","Error","Delta13C","Delta13CError","Source"
"11","IAAA-41122","AKT0400-T2",NA,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,グリッド,No50,Ⅱb層,ST37捨場","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2570,40,"-28.62","0.73","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"12","IAAA-41123","AKT0400-T4",1,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,NP49,Ⅱb層,ST37捨場","土器付着物","Ceramic Organic Residue","大洞A式","B5","","B5",2510,60,"-27.17","0.55","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"13","MTC-5388","AKT0400-T4",1,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","NP49,Ⅱb層","土器付着物","Ceramic Organic Residue","大洞A式","B5","","B5",2500,35,"-25.4","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"14","YU-4001","AKMB-C21",NA,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県","SKP270","木材","Wood","大洞A式","B5","","B5",2488,20,"-24.2489","0.255","小林謙一・木村勝彦・米田穣・高橋学2017「秋田県戸平川・中屋敷II遺跡縄紋柱痕の年代比定」『日本文化財科学会第34回大会研究発表要旨集』"
"15","YU-4602","AKMB-C32",2,"Tohoku",258,"戸平川遺跡","秋田県","SB-161掘立-P1","木材","Wood","大洞A式","B5","","B5",2571,20,"-27.0082","0.294","小林謙一・木村勝彦・米田穣・高橋学2017「秋田県戸平川・中屋敷II遺跡縄紋柱痕の年代比定」『日本文化財科学会第34回大会研究発表要旨集』"
"16","TKA-17449","AKMB-C32",2,"Tohoku",258,"戸平川遺跡","秋田県","SB-161掘立-P2","木材","Wood","大洞A式","B5","","B5",2566,30,"","","小林謙一・木村勝彦・米田穣・高橋学2017「秋田県戸平川・中屋敷II遺跡縄紋柱痕の年代比定」『日本文化財科学会第34回大会研究発表要旨集』"
"17","PLD-8231","AKT-108",NA,"Tohoku",258,"戸平川遺跡","秋田県秋田市添川字戸平川","","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2890,20,"-26.29","0.14","小林謙一・木村勝彦・米田穣・高橋学2017「秋田県戸平川・中屋敷II遺跡縄紋柱痕の年代比定」『日本文化財科学会第34回大会研究発表要旨集』"
"18","PLD-8229","AKT-114",NA,"Tohoku",174,"奥椿岱遺跡","秋田県雄和町","50TTRP05","土器付着物","Ceramic Organic Residue","大洞A’","B6","","B6",2560,20,"-24.51","0.17","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・小林　克2005「秋田県内遺跡出土試料の14C年代測定」『（財）秋田県埋蔵文化財センター研究紀要』第19号 （財）秋田県埋蔵文化財センター"
"19","PLD-4485","AKT-139",NA,"Tohoku",135,"向様田A遺跡","秋田県森吉町森吉字向様田家ノ下モ8","2MSD-A,ST184(MA28-C)Ⅲ,No1217-1","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2915,20,"-26.39","0.18","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"20","PLD-4486","AKT-143",NA,"Tohoku",135,"向様田A遺跡","秋田県森吉町森吉字向様田家ノ下モ8","2MSDA,ST183,LP35BⅡ","土器付着物","Ceramic Organic Residue","大洞B-C2式","B2","","B2",2970,20,"-25.04","0.21","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"21","PLD-4487","AKT-152",NA,"Tohoku",135,"向様田A遺跡","秋田県森吉町森吉字向様田家ノ下モ8","ST183,(LP34-C),RP,No285","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2880,20,"-26.31","0.12","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"22","PLD-4488","AKT-153",NA,"Tohoku",135,"向様田A遺跡","秋田県森吉町森吉字向様田家ノ下モ8","2MSD-A,ST183,(LS33-B)Ⅱ,No3060","土器付着物","Ceramic Organic Residue","大洞B2式?","B1","","B1",3065,20,"-27.06","0.15","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"23","PLD-4489","AKT-159 (re)",NA,"Tohoku",135,"向様田A遺跡","秋田県森吉町森吉字向様田家ノ下モ8","2MSDA,ST184,No1202-1","土器付着物","Ceramic Organic Residue","大洞B1式","B1","","B1",2945,20,"-26.43","0.11","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"24","PLD-4490","AKT-164 (re)",NA,"Tohoku",135,"向様田A遺跡","秋田県森吉町森吉字向様田家ノ下モ8","ST183(LD34-B)Ⅱ,No422","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2845,20,"-25.29","0.12","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"25","PLD-4492","AKT-204 C",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2945,20,"-25.65","0.11","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"26","PLD-4494","AKT-207",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2970,25,"-25.97","0.12","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"27","PLD-4495","AKT-209",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞B1式","B1","","B1",3085,20,"-25.34","0.11","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"28","PLD-4496","AKT-215",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2880,20,"-25.88","0.13","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"29","PLD-4498","AKT-217",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2910,20,"-25.57","0.11","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"30","PLD-4499","AKT-218 a",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞B2式","B1","","B1",2925,20,"-27.24","0.14","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"31","PLD-4500","AKT-220 a",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞B2式","B1","","B1",2870,20,"-26.21","0.13","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"32","PLD-4501","AKT-226",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2985,25,"-26.94","0.2","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"33","PLD-4502","AKT-227",NA,"Tohoku",136,"向様田D遺跡","秋田県森吉町森吉字向様田家ノ下モ14-1","","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2995,20,"-25.1","0.11","国立歴史民俗博物館・年代測定グループ2006「秋田県内遺跡出土試料の14C年代測定（その２）」『（財）秋田県埋蔵文化財センター研究紀要』第20号,（財）秋田県埋蔵文化財センター"
"34","IAAA-172307","",NA,"Tohoku",366,"狸崎A遺跡","秋田県秋田市御所野地蔵田","9号住居ピット４（主柱穴）","炭化材","Charred Remains","大洞A式","B5","","B5",2560,20,"-26.6","0.4","根岸洋・松田瑞生・早瀬亮介・小原圭一2018「縄文晩期後半の測定年代と居住システムに関する研究」『文化遺産研究報告』3、国際教養大学アジア地域研究連携機構、59-76、2018/3"
"35","IAAA-170731","ABD-01-1",NA,"Tohoku",492,"鐙田遺跡","秋田県湯沢市松岡字鐙田","IV層下部","木片","Wood","大洞A式","B5","","B5",2620,20,"-27.75","0.21","根岸洋・小林克・加藤竜・吉川純子・松田瑞生・早瀬亮介・小原圭一2018「鐙田遺跡出土木製遺物の年代と予察―2017年度調査の概要報告―」『秋田県立博物館研究報告』第43号"
"36","IAAA-30447","AOH-10-7",NA,"Tohoku",266,"是川中居遺跡","青森県八戸市","1区包含層","漆","Lacquer","大洞C2式","B4","","B4",2720,80,"-27.19","1.34","国立歴史民俗博物館・年代測定研究グループ2006「是川遺跡出土試料の14C年代測定」『是川中居遺跡』5,八戸市埋蔵文化財調査報告書第111集"
"37","IAAA-30446","AOH-11-5",NA,"Tohoku",266,"是川中居遺跡","青森県八戸市","長田沢地区、1区","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2580,60,"-26.73","1.47","国立歴史民俗博物館・年代測定研究グループ2006「是川遺跡出土試料の14C年代測定」『是川中居遺跡』5,八戸市埋蔵文化財調査報告書第111集"
"38","IAAA-30440","AOH-29-6",NA,"Tohoku",266,"是川中居遺跡","青森県八戸市","長田沢地区","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2810,60,"-20.82","0.91","国立歴史民俗博物館・年代測定研究グループ2006「是川遺跡出土試料の14C年代測定」『是川中居遺跡』5,八戸市埋蔵文化財調査報告書第111集"
"39","IAAA-30441","AOH-H14-1",3,"Tohoku",266,"是川中居遺跡","青森県八戸市","H14年度,H区43F1,Ⅱ層（堅果類堆積層）","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2850,50,"-22.7","1.24","国立歴史民俗博物館・年代測定研究グループ2006「是川遺跡出土試料の14C年代測定」『是川中居遺跡』5,八戸市埋蔵文化財調査報告書第111集"
"40","PLD-4128","AOH-H14-1",3,"Tohoku",266,"是川中居遺跡","青森県八戸市","H14年度,H区43F1,Ⅱ層（堅果類堆積層）","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2925,20,"-25.35","0.11","小林謙一・今村峯雄・永嶋正春・西本豊弘・坂本稔・陳建立2004「自然科学分析　八戸市是川遺跡・風張遺跡出土試料の14C年代測定」『八戸遺跡調査会埋蔵文化財調査報告書第5集　是川中居遺跡中居地区G・L・M』八戸市埋蔵文化財調査報告書第102集、八戸遺跡調査会"
"41","MTC-3775","AOH-L003",NA,"Tohoku",266,"是川中居遺跡","青森県八戸市","L区,03KN-L,1土ピット-1,1土坑","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2905,30,"-23.3","","小林謙一・今村峯雄・永嶋正春・西本豊弘・坂本稔・陳建立2004「自然科学分析　八戸市是川遺跡・風張遺跡出土試料の14C年代測定」『八戸遺跡調査会埋蔵文化財調査報告書第5集　是川中居遺跡中居地区G・L・M』八戸市埋蔵文化財調査報告書第102集、八戸遺跡調査会"
"42","MTC-4330","AOH-L12 a",NA,"Tohoku",266,"是川中居遺跡","青森県八戸市","03,KN-L,25-H3,ピット1","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2930,30,"-28.7","","小林謙一・今村峯雄・永嶋正春・西本豊弘・坂本稔・陳建立2004「自然科学分析　八戸市是川遺跡・風張遺跡出土試料の14C年代測定」『八戸遺跡調査会埋蔵文化財調査報告書第5集　是川中居遺跡中居地区G・L・M』八戸市埋蔵文化財調査報告書第102集、八戸遺跡調査会"
"43","BETA-190354","AOH-L14",NA,"Tohoku",266,"是川中居遺跡","青森県八戸市","03,KN-L,19-A6,Ⅲ層","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",3080,40,"-24.9","","小林謙一・今村峯雄・永嶋正春・西本豊弘・坂本稔・陳建立2004「自然科学分析　八戸市是川遺跡・風張遺跡出土試料の14C年代測定」『八戸遺跡調査会埋蔵文化財調査報告書第5集　是川中居遺跡中居地区G・L・M』八戸市埋蔵文化財調査報告書第102集、八戸遺跡調査会"
"44","MTC-6393","AOMB-024",NA,"Tohoku",224,"川原平(1)遺跡","青森県西目屋村大字川原平字福岡116-47外","ND-166,Ⅲ層","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2875,30,"-28.9","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・宮田佳樹・遠部慎・松崎浩之）2006「川原平(1)遺跡出土土器付着物の14C年代結果」『川原平(1)・(4)遺跡-津軽ダム建設事業に伴う遺跡発掘調査報告-』青森県埋蔵文化財調査報告書 第409集"
"45","MTC-6394","AOMB-025 a",NA,"Tohoku",224,"川原平(1)遺跡","青森県西目屋村大字川原平字福岡116-47外","ND-166,Ⅲ層","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2925,35,"-26.2","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・宮田佳樹・遠部慎・松崎浩之）2006「川原平(1)遺跡出土土器付着物の14C年代結果」『川原平(1)・(4)遺跡-津軽ダム建設事業に伴う遺跡発掘調査報告-』青森県埋蔵文化財調査報告書 第409集"
"46","MTC-6395","AOMB-027",NA,"Tohoku",224,"川原平(1)遺跡","青森県西目屋村大字川原平字福岡116-47外","ND-176,Ⅱ層","土器付着物","Ceramic Organic Residue","大洞B2式","B1","","B1",2960,30,"-26.8","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・宮田佳樹・遠部慎・松崎浩之）2006「川原平(1)遺跡出土土器付着物の14C年代結果」『川原平(1)・(4)遺跡-津軽ダム建設事業に伴う遺跡発掘調査報告-』青森県埋蔵文化財調査報告書 第409集"
"47","BETA-209379","AOMB-044 a",NA,"Tohoku",224,"川原平(1)遺跡","青森県西目屋村大字川原平字福岡116-47外","NH-180,Ⅰ層","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2710,40,"0","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・宮田佳樹・遠部慎・松崎浩之）2006「川原平(1)遺跡出土土器付着物の14C年代結果」『川原平(1)・(4)遺跡-津軽ダム建設事業に伴う遺跡発掘調査報告-』青森県埋蔵文化財調査報告書 第409集"
"48","MTC-6396","AOMB-044 a ",NA,"Tohoku",224,"川原平(1)遺跡","青森県西目屋村大字川原平字福岡116-47外","NH-180,Ⅰ層","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2580,80,"-27.6","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・宮田佳樹・遠部慎・松崎浩之）2006「川原平(1)遺跡出土土器付着物の14C年代結果」『川原平(1)・(4)遺跡-津軽ダム建設事業に伴う遺跡発掘調査報告-』青森県埋蔵文化財調査報告書 第409集"
"49","BETA-209318","AOMB-046",NA,"Tohoku",224,"川原平(1)遺跡","青森県西目屋村大字川原平字福岡116-47外","ND-166,Ⅲ層","土器付着物","Ceramic Organic Residue","大洞B-C式","B2","","B2",2990,40,"0","","国立歴史民俗博物館・年代測定研究グループ（小林謙一・宮田佳樹・遠部慎・松崎浩之）2006「川原平(1)遺跡出土土器付着物の14C年代結果」『川原平(1)・(4)遺跡-津軽ダム建設事業に伴う遺跡発掘調査報告-』青森県埋蔵文化財調査報告書 第409集"
"50","MTC-10962","HKMB-12",NA,"Tohoku",45,"下谷ヶ地平C遺跡","福島県会津美里町","1号住居","土器付着物","Ceramic Organic Residue","大洞A式","B5","","B5",2555,40,"-17.5","3.7",""
"51","MTC-10963","HKMB-17",NA,"Tohoku",45,"下谷ヶ地平C遺跡","福島県会津美里町","2号住居","漆","Lacquer","大洞A式","B5","","B5",2505,40,"-29.4","3.2",""
"52","MTC-10967","HKMB-23",NA,"Tohoku",219,"岩下A1次遺跡","福島県飯館村","","土器付着物","Ceramic Organic Residue","大洞A'式","B6","","B6",2305,40,"-28.5","3.2",""
"53","MTC-10968","HKMB-24",NA,"Tohoku",219,"岩下A1次遺跡","福島県飯館村","","土器付着物","Ceramic Organic Residue","大洞A'式","B6","","B6",2345,35,"-30.2","2.4",""
"54","MTC-10969","HKMB-25",NA,"Tohoku",219,"岩下A1次遺跡","福島県飯館村","","土器付着物","Ceramic Organic Residue","大洞A'式","B6","","B6",2365,40,"-27.5","2.7",""
"55","MTC-10972","HKMB-31 a",NA,"Tohoku",428,"羽白C1次遺跡","福島県飯館村","","土器付着物","Ceramic Organic Residue","大洞A式","B5","","B5",2625,35,"-27.6","2.3",""
"56","BETA-213658","IK-101",NA,"Tohoku",507,"飯島遺跡","岩手県北上市","土坑SK07，底面","土器付着物","Ceramic Organic Residue","大洞C2式古","B4","","B4",2740,40,"0","","小林謙一・坂本　稔・遠部　慎・宮田佳樹・松崎浩之2006「岩手県北上市飯島遺跡出土試料の14C年代測定」『北上市埋蔵文化財年報(2004年度)』"
"57","MTC-9150","IK-102 a-ad",NA,"Tohoku",507,"飯島遺跡","岩手県北上市","SK07土坑","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2805,40,"-24.6","1.9","小林謙一・坂本　稔・遠部　慎・宮田佳樹・松崎浩之2006「岩手県北上市飯島遺跡出土試料の14C年代測定」『北上市埋蔵文化財年報(2004年度)』"
"58","MTC-9151","IK-103 a-ad",NA,"Tohoku",507,"飯島遺跡","岩手県北上市","SK07土坑","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2710,40,"-25","1.4","小林謙一・坂本　稔・遠部　慎・宮田佳樹・松崎浩之2006「岩手県北上市飯島遺跡出土試料の14C年代測定」『北上市埋蔵文化財年報(2004年度)』"
"59","BETA-213592","IK-105",NA,"Tohoku",507,"飯島遺跡","岩手県北上市","土坑SK07，埋土","土器付着物","Ceramic Organic Residue","大洞C2式古","B4","","B4",2650,40,"-24.6","","小林謙一・坂本　稔・遠部　慎・宮田佳樹・松崎浩之2006「岩手県北上市飯島遺跡出土試料の14C年代測定」『北上市埋蔵文化財年報(2004年度)』"
"60","BETA-212937","IK-111",NA,"Tohoku",507,"飯島遺跡","岩手県北上市","土坑SK03，底面","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2690,40,"-25.5","","小林謙一・坂本　稔・遠部　慎・宮田佳樹・松崎浩之2006「岩手県北上市飯島遺跡出土試料の14C年代測定」『北上市埋蔵文化財年報(2004年度)』"
"61","PLD-7810","IK-115",NA,"Tohoku",507,"飯島遺跡","岩手県北上市","SK07土坑","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2805,20,"-27.33","0.15","小林謙一・坂本　稔・遠部　慎・宮田佳樹・松崎浩之2006「岩手県北上市飯島遺跡出土試料の14C年代測定」『北上市埋蔵文化財年報(2004年度)』"
"62","PLD-7812","IK-118 ",NA,"Tohoku",507,"飯島遺跡","岩手県北上市","SK07土坑","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2820,20,"-25.83","0.13","小林謙一・坂本　稔・遠部　慎・宮田佳樹・松崎浩之2006「岩手県北上市飯島遺跡出土試料の14C年代測定」『北上市埋蔵文化財年報(2004年度)』"
"63","PLD-7813","IK-120 b",NA,"Tohoku",507,"飯島遺跡","岩手県北上市","SK07土坑","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2815,25,"-29.11","0.21","小林謙一・坂本　稔・遠部　慎・宮田佳樹・松崎浩之2006「岩手県北上市飯島遺跡出土試料の14C年代測定」『北上市埋蔵文化財年報(2004年度)』"
"64","MTC-5100","IK-59",NA,"Tohoku",64,"九年橋遺跡","岩手県北上市","H10-2-L-2,3石ハコ,585-07,14079","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2535,35,"-24.4","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之2005「北上市内遺跡出土土器付着物の14C年代測定(2)」『北上市埋蔵文化財年報（2003年度）』北上市立埋蔵文化財センター"
"65","MTC-5101","IK-66",NA,"Tohoku",64,"九年橋遺跡","岩手県北上市","１0次補,588-6,12895,Ⅰ-13,0層","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2890,35,"-25.5","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之2005「北上市内遺跡出土土器付着物の14C年代測定(2)」『北上市埋蔵文化財年報（2003年度）』北上市立埋蔵文化財センター"
